MId,Text,PictureList,LikeCount,CommentCount,RepostCount,BlogUser,Source,StatusCity,StatusCountry,CreatedAt
5040846816414096,"方向盘🛞记录： P1/2 奔驰MPV｜保姆车，奶爸车，做一家人的司机也很不错的感觉，航空座椅坐起来超舒服，分分钟睡着； P3/4 奔驰E｜40岁的我希望可以开得起，开不起就50再开； P5/6 阿维塔12｜这次车展了解最久，也是最深入的车型，唯二加了销售微信的。这个国产原创品牌有很多令人耳目一新的小设计， ...<a href=""/status/5040846816414096"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone客户端,深圳,中国,Sun Jun 02 15:56:38 +0800 2024
5040842217884816,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23e%E6%9D%A1%E9%B1%BC%23&extparam=%23e%E6%9D%A1%E9%B1%BC%23"" data-hide=""""><span class=""surl-text"">#e条鱼#</span></a> 发点屌丝日记 1⃣️2⃣️昨天回家拆了个快递整理完直接到头入睡了3⃣️虽然没买到300-50的欲言all，但是又凑单超划算买到了小羊的大体手办<span class=""url-icon""><img alt=[抓狂] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_zhuakuang-c007ffb7fe.png"" style=""width:1em; height:1em;"" /></span>刚好和家里另一个美美凑一对，顺便给自己买个六一礼物🫰🏽 4⃣️想起来上次多买的贴纸，用上了很萌🥰 5⃣️6⃣️生物钟刚起床就被老爸叫去家 ...<a href=""/status/5040842217884816"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,☁️iPhone客户端,衢州,中国,Sun Jun 02 15:38:22 +0800 2024
5040840745423634,"<a  href=""https://m.weibo.cn/p/index?extparam=%E5%BA%B7%E8%A3%95%E7%93%92&containerid=10080847c308ece5fd8bd3f5c635b2b4e6450d"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">康裕瓒</span></a>☆<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AF%94%E6%A0%BC%E5%A4%A9%E4%BD%BF%E5%BA%B7%E8%A3%95%E7%93%92%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#比格天使康裕瓒#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23UNB%23"" data-hide=""""><span class=""surl-text"">#UNB#</span></a><a  href=""https://m.weibo.cn/p/index?extparam=ACE&containerid=100808757f4749aebb1891ef5ac2a9b5439cea"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">ACE</span></a><a  href=""https://m.weibo.cn/p/index?extparam=Twenty_Twenty&containerid=10080824384b2bd8727a53474ab8b2a8d6f8cd"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">Twenty_Twenty</span></a><a  href=""https://m.weibo.cn/p/index?extparam=%E9%9F%A9%E5%89%A7MIMICUS%E6%A8%A1%E4%BB%BF%E7%AB%A0%E9%B1%BC&containerid=100808713425dc8211da3c1ca928c1143a45dc"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">韩剧MIMICUS模仿章鱼</span></a> WarmJade♪官图 240601 Spotify Korea官推/官方INS更新  A.C.E成员们发来的特别照片📷 这次的专辑《Supernatural》也一定要听哦！ 💚spotify.link/kZnu1UVJ2Jb   <a href='/n/official_ACE7'>@official_ACE7</a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%EC%8A%A4%ED%8F%AC%ED%8B%B0%ED%8C%8C%EC%9D%B4+%23&extparam=%23%EC%8A%A4%ED%8F%AC%ED%8B%B0%ED%8C%8C%EC%9D%B4+%23"" data-hide=""""><span class=""surl-text"">#스포티파이 #</span></a> ...<a href=""/status/5040840745423634"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,康裕瓒超话,,中国,Sun Jun 02 15:32:31 +0800 2024
5040840584202516,退一步讲，为什么没人可以平白无故送我一台ZV-E1 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,送吴彼一部Android,北京,中国,Sun Jun 02 15:31:52 +0800 2024
5040839848103354,"打卡辽E，妥妥的山城📸 看一堆攻略没人告诉我5元1手的豆皮是30串 90串豆皮硬给看饱了<span class=""url-icon""><img alt=[馋嘴] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-fc1acc341b.png"" style=""width:1em; height:1em;"" /></span> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone客户端,沈阳,中国,Sun Jun 02 15:28:57 +0800 2024
5040839259064773,【欧冠北西兰0-4切尔西】北京时间10月3日2时45分(丹麦当地时间2日20时45分)，欧洲冠军联赛E组第2轮在哥本哈根开始1场角逐，切尔西客场4比0完胜丹麦冠军北西兰。马塔梅开二度，路易斯和拉米雷斯各下一城。兰帕德和奥斯卡奉献助攻。 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,皮皮时光机,肇庆,中国,Sun Jun 02 15:26:36 +0800 2024
5040839141098707,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%99%88%E4%B9%94%E6%81%A9%E5%88%98%E4%BA%9B%E5%AE%81%E6%96%B0%E7%89%87%E6%BC%94%E6%AF%8D%E5%A5%B3%23&extparam=%23%E9%99%88%E4%B9%94%E6%81%A9%E5%88%98%E4%BA%9B%E5%AE%81%E6%96%B0%E7%89%87%E6%BC%94%E6%AF%8D%E5%A5%B3%23"" data-hide=""""><span class=""surl-text"">#陈乔恩刘些宁新片演母女#</span></a> 母女情深，但性格迥异。刘些宁在新片中饰演的反派傲娇千金与陈乔恩饰演的母亲联手，展开了一段惊心动魄的冒险之旅。她们之间的母女情深与矛盾冲突交织在一起，令人期待后续剧情的发展！ <a  href=""https://video.weibo.com/show?fid=1034:5040839026737184"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">追剧夏美丽的微博视频</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博视频号,杭州,中国,Sun Jun 02 15:26:08 +0800 2024
5040838849855761,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%99%88%E4%B9%94%E6%81%A9%E5%88%98%E4%BA%9B%E5%AE%81%E6%96%B0%E7%89%87%E6%BC%94%E6%AF%8D%E5%A5%B3%23&extparam=%23%E9%99%88%E4%B9%94%E6%81%A9%E5%88%98%E4%BA%9B%E5%AE%81%E6%96%B0%E7%89%87%E6%BC%94%E6%AF%8D%E5%A5%B3%23"" data-hide=""""><span class=""surl-text"">#陈乔恩刘些宁新片演母女#</span></a> 陈乔恩与刘些宁母女档携手，新片中的角色设定令人惊喜。刘些宁首次尝试反派形象，傲娇千金与母亲陈乔恩一同在故事中搅动风云，期待她们的精彩表现！ <a  href=""https://video.weibo.com/show?fid=1034:5040838737068042"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">曼巴娱乐的微博视频</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博视频号,杭州,中国,Sun Jun 02 15:24:58 +0800 2024
5040838759154719,"权游S3E1 小恶魔好可怜啊，只是想得到父亲认可，还要被嫌弃是个半人<span class=""url-icon""><img alt=[怒] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png"" style=""width:1em; height:1em;"" /></span> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone 13 Pro,武汉,中国,Sun Jun 02 15:24:37 +0800 2024
5040555279783821,"<a  href=""https://m.weibo.cn/p/index?extparam=%E9%87%91%E8%B5%B7%E8%8C%83Key&containerid=1008084880a88048d082ec0188c6c0946b16e3"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">金起范Key</span></a> 240601 SHINee 六巡安可HD  cr _unstoppab1e  💖KEYLAND 亚巡澳门团🎫💖：<a  href=""https://weibo.com/5478377178/5039820920066010"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a>  🧱日专Tongue Tied代GO🧱：<a  href=""https://weibo.com/5478377178/5039094541059317"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,金起范Key超话,,新加坡,Sat Jun 01 20:38:10 +0800 2024
